id,ime,gorovje,visina,ogledi,priljubljenost,stevilo_poti
955,Mala Raduha,Kamniško Savinjske Alpe,2029,446594,86,3
956,Molička peč,Kamniško Savinjske Alpe,2029,540882,93,3
957,Lučki Dedec,Kamniško Savinjske Alpe,2023,591625,95,6
958,Mala Ojstrica,Kamniško Savinjske Alpe,2017,577190,94,2
959,Vrh Korena,Kamniško Savinjske Alpe,1999,647752,97,9
960,Kompotela,Kamniško Savinjske Alpe,1989,686832,97,3
961,Tolsti vrh (Veža),Kamniško Savinjske Alpe,1985,458054,88,4
962,Vršiči,Kamniško Savinjske Alpe,1980,335243,77,1
963,Bivak pod Mrzlim vrhom,Kamniško Savinjske Alpe,1980,375517,81,4
964,Košutna,Kamniško Savinjske Alpe,1974,529976,92,3
965,Veliki Zvoh,Kamniško Savinjske Alpe,1971,623257,96,5
966,Deska (Veža),Kamniško Savinjske Alpe,1970,423586,85,4
967,Vežica,Kamniško Savinjske Alpe,1965,315911,75,1
968,Dleskovec,Kamniško Savinjske Alpe,1965,457491,88,1
969,Matkova kopa,Kamniško Savinjske Alpe,1957,398823,82,1
970,Bivak v Kočni,Kamniško Savinjske Alpe,1952,353446,78,1
971,Lanež,Kamniško Savinjske Alpe,1925,426417,85,7
972,Jamarski bivak na Dleskovški planoti,Kamniško Savinjske Alpe,1910,10530,45,3
973,Križevnik,Kamniško Savinjske Alpe,1909,486248,90,4
974,Rjavčki vrh (Planinšca),Kamniško Savinjske Alpe,1898,345566,78,3
975,Kamniška koča na Kamniškem sedlu,Kamniško Savinjske Alpe,1864,1226378,100,4
976,Krvavec,Kamniško Savinjske Alpe,1853,658260,97,4
977,Mokrica,Kamniško Savinjske Alpe,1853,476443,89,4
978,Srednji vrh,Kamniško Savinjske Alpe,1853,566424,94,7
979,Vodotočno jezero (Veža),Kamniško Savinjske Alpe,1850,487128,90,4
980,Lastovec,Kamniško Savinjske Alpe,1841,314508,75,1
981,Planina Dolga trata,Kamniško Savinjske Alpe,1835,305468,74,1
982,Rzenik,Kamniško Savinjske Alpe,1833,491582,90,3
983,Cjanovca,Kamniško Savinjske Alpe,1820,503784,91,7
984,Mali Grintovec,Kamniško Savinjske Alpe,1813,555553,93,24
985,Kup (na Raduhi),Kamniško Savinjske Alpe,1808,364039,79,2
986,Kocbekov dom na Korošici,Kamniško Savinjske Alpe,1808,712826,98,13
987,Konj,Kamniško Savinjske Alpe,1803,688985,97,4
988,Vratca,Kamniško Savinjske Alpe,1802,479948,89,5
989,Cojzova koča na Kokrskem sedlu,Kamniško Savinjske Alpe,1793,806840,98,4
990,Goli vrh,Kamniško Savinjske Alpe,1787,642496,96,3
991,Kapelica na Molički planini,Kamniško Savinjske Alpe,1780,592689,95,7
992,Planina Košutna,Kamniško Savinjske Alpe,1778,467656,88,3
993,Strelovec,Kamniško Savinjske Alpe,1763,570432,94,4
994,Bašeljski vrh,Kamniško Savinjske Alpe,1744,544497,93,16
995,Veliki vrh,Kamniško Savinjske Alpe,1742,488365,90,1
996,Licjanovec,Kamniško Savinjske Alpe,1733,8810,45,1
997,Tolsti vrh,Kamniško Savinjske Alpe,1715,777006,98,16
998,Kranjska koča na Ledinah,Kamniško Savinjske Alpe,1700,675204,97,4
999,Planina Polšak,Kamniško Savinjske Alpe,1695,306192,74,1
1000,Planina Dolga njiva (Krvavec),Kamniško Savinjske Alpe,1688,424964,85,4
1001,Komen,Kamniško Savinjske Alpe,1684,514155,92,7
1002,Dom na Krvavcu,Kamniško Savinjske Alpe,1684,507231,91,3
1003,Planina Koren,Kamniško Savinjske Alpe,1675,453856,87,4
1004,Gradišče (Velika planina),Kamniško Savinjske Alpe,1666,1174411,100,12
1005,Kržišče (Pokovše),Kamniško Savinjske Alpe,1658,8130,44,2
1006,Planina Rzenik,Kamniško Savinjske Alpe,1654,410740,84,2
1007,Koritni vrh (Velika planina),Kamniško Savinjske Alpe,1648,434664,86,2
1008,Veliki Travnik (Turnovka),Kamniško Savinjske Alpe,1637,429981,85,9
1009,Šentanski vrh,Kamniško Savinjske Alpe,1635,452045,87,14
1010,Dobrča,Kamniško Savinjske Alpe,1634,894863,99,18
1011,Kozji vrh,Kamniško Savinjske Alpe,1628,426478,85,1
1012,Krnes,Kamniško Savinjske Alpe,1613,375698,81,2
1013,Gostišče Zeleni Rob,Kamniško Savinjske Alpe,1612,493050,90,1
1014,Hotel Krvavec,Kamniško Savinjske Alpe,1600,12774,46,4
1015,Planina Dolga njiva,Kamniško Savinjske Alpe,1600,489532,90,4
1016,Planina Javorje,Kamniško Savinjske Alpe,1594,251666,68,2
1017,Vrata,Kamniško Savinjske Alpe,1591,386148,81,1
1018,Boskovec,Kamniško Savinjske Alpe,1587,470258,89,10
1019,Kamniški Dedec,Kamniško Savinjske Alpe,1583,556683,94,1
1020,Smrekovec,Kamniško Savinjske Alpe,1577,753795,98,13
1021,Medvedjak,Kamniško Savinjske Alpe,1573,384805,81,1
1022,Planina Vodole,Kamniško Savinjske Alpe,1570,287136,72,1
1023,Poljanski rob,Kamniško Savinjske Alpe,1569,268819,70,3
1024,Planina Arta,Kamniško Savinjske Alpe,1564,362943,79,1
1025,Planina Podvežak,Kamniško Savinjske Alpe,1564,427249,85,2
1026,Kapela Marije Snežne (Velika planina),Kamniško Savinjske Alpe,1560,548059,93,8
1027,Veliki Rogatec (Veliki Rogac),Kamniško Savinjske Alpe,1557,560654,94,8
1028,Koča na Travniku,Kamniško Savinjske Alpe,1548,502469,91,8
1029,Češka koča na Spodnjih Ravneh,Kamniško Savinjske Alpe,1542,983521,99,5
1030,Veliki vrh nad Matkovim kotom,Kamniško Savinjske Alpe,1539,11465,45,1
1031,Logarska peč,Kamniško Savinjske Alpe,1536,302154,73,3
1032,Koča na Loki pod Raduho,Kamniško Savinjske Alpe,1534,534293,93,6
1033,Domžalski dom na Mali planini,Kamniško Savinjske Alpe,1534,646616,97,7
1034,Dom na Kališču,Kamniško Savinjske Alpe,1534,723594,98,21
1035,Mali Travnik,Kamniško Savinjske Alpe,1532,209819,64,1
1036,Koča na Treh plotih,Kamniško Savinjske Alpe,1530,369777,80,1
1037,Črnuški dom na Mali planini,Kamniško Savinjske Alpe,1526,566590,94,7
1038,Icmanikova planina,Kamniško Savinjske Alpe,1520,282490,71,3
1039,Knezova planina,Kamniško Savinjske Alpe,1520,257460,69,1
1040,Jarški dom na Mali planini,Kamniško Savinjske Alpe,1520,505738,91,5
1041,Vivodnik,Kamniško Savinjske Alpe,1508,488935,90,16
1042,Planina Konjščica (Velika planina),Kamniško Savinjske Alpe,1505,509450,91,2
1043,Planina Ravne,Kamniško Savinjske Alpe,1500,308815,74,1
1044,Planina Mali Travnik,Kamniško Savinjske Alpe,1500,225607,66,2
1045,Špic,Kamniško Savinjske Alpe,1499,274292,71,1
1046,Jenkova planina,Kamniško Savinjske Alpe,1495,394406,82,1
1047,Dom na Gospincu (Hotel Rozka),Kamniško Savinjske Alpe,1491,447313,87,8
1048,Kriška planina,Kamniško Savinjske Alpe,1480,515048,92,5
1049,Grebenc,Kamniško Savinjske Alpe,1479,261844,69,3
1050,Koča na Dobrči,Kamniško Savinjske Alpe,1478,710278,97,14
1051,Koča na Kriški gori,Kamniško Savinjske Alpe,1471,1154301,100,9
1052,Javorca (Golte),Kamniško Savinjske Alpe,1465,346952,78,3
1053,Koča na Grohatu,Kamniško Savinjske Alpe,1460,516714,92,2
1054,Visoki vrh nad Jezerskim,Kamniško Savinjske Alpe,1459,364683,79,2
1055,Dom na Menini planini,Kamniško Savinjske Alpe,1453,886616,99,16
1056,Račka vrata,Kamniško Savinjske Alpe,1450,268537,70,1
1057,Planina Kališče,Kamniško Savinjske Alpe,1450,467440,88,8
1058,Lešanska planina,Kamniško Savinjske Alpe,1450,431852,85,6
1059,Kranjska reber,Kamniško Savinjske Alpe,1435,494167,90,5
1060,Javorov vrh,Kamniško Savinjske Alpe,1434,511553,91,7
1061,Turni (pri Kozjem vrhu),Kamniško Savinjske Alpe,1432,2710,35,1
1062,Črno jezero (Končnikova mlakuža),Kamniško Savinjske Alpe,1430,979,26,2
1063,Pri Pastirjih,Kamniško Savinjske Alpe,1430,366940,80,1
1064,Goli vrh (Šavnice),Kamniško Savinjske Alpe,1426,318239,75,2
1065,Lepenatka,Kamniško Savinjske Alpe,1425,585080,95,10
1066,Čisovec,Kamniško Savinjske Alpe,1419,7740,44,3
1067,Jama Jespa,Kamniško Savinjske Alpe,1413,1010,27,3
1068,Planina Jezerca,Kamniško Savinjske Alpe,1410,29310,48,4
1069,Hotel Golte,Kamniško Savinjske Alpe,1410,452175,87,2
1070,Ledenica na Golteh,Kamniško Savinjske Alpe,1405,721,24,3
1071,Javornik nad Jezerskim,Kamniško Savinjske Alpe,1399,329859,76,1
1072,Dom na Okrešlju,Kamniško Savinjske Alpe,1396,694740,97,2
1073,Krničarjeva koča na Planini Javornik,Kamniško Savinjske Alpe,1390,428876,85,5
1074,Velika Poljana,Kamniško Savinjske Alpe,1385,502720,91,11
1075,Praprotnikova koča,Kamniško Savinjske Alpe,1380,341495,77,2
1076,Dom na Smrekovcu,Kamniško Savinjske Alpe,1375,591183,95,13
1077,Mozirska koča na Golteh,Kamniško Savinjske Alpe,1356,572592,94,7
1078,Knezova planina (Planina Bela peč),Kamniško Savinjske Alpe,1350,168867,60,2
1079,Slap Čedca,Kamniško Savinjske Alpe,1350,476701,89,1
1080,Kunšperski vrh (Brezovec),Kamniško Savinjske Alpe,1336,2481,35,2
1081,Povšnarjeva planina,Kamniško Savinjske Alpe,1330,2840,36,1
1082,Zavetišče v Hudičevem borštu,Kamniško Savinjske Alpe,1328,582189,95,5
1083,Izletniška kmetija Bukovc (Bukovnik),Kamniško Savinjske Alpe,1327,7217,44,2
1084,Bezovec,Kamniško Savinjske Alpe,1326,173856,61,1
1085,Mala Poljana,Kamniško Savinjske Alpe,1325,460054,88,6
1086,Planina Vodol,Kamniško Savinjske Alpe,1324,162909,60,1
1087,Ovča koča,Kamniško Savinjske Alpe,1323,4750,41,1
1088,Plesnikova planina,Kamniško Savinjske Alpe,1319,6950,43,1
1089,Kašna planina,Kamniško Savinjske Alpe,1317,459544,88,3
1090,Planina Dol,Kamniško Savinjske Alpe,1308,408935,83,2
1091,Lovska koča Črnevka,Kamniško Savinjske Alpe,1300,121954,56,1
1092,Zavetišče na Biba planini,Kamniško Savinjske Alpe,1300,409754,84,3
1093,Murijeva planina,Kamniško Savinjske Alpe,1289,5340,42,1
1094,Dunajska bajta,Kamniško Savinjske Alpe,1286,215,13,1
1095,Bivak na Kalu,Kamniško Savinjske Alpe,1285,341245,77,7
1096,Potoška gora,Kamniško Savinjske Alpe,1283,504166,91,2
1097,Skubrov vrh,Kamniško Savinjske Alpe,1276,168180,60,1
1098,Dom na Kisovcu,Kamniško Savinjske Alpe,1275,518052,92,4
1099,Kamniški vrh,Kamniško Savinjske Alpe,1259,747416,98,11
1100,Planjava pri Kamniškem vrhu,Kamniško Savinjske Alpe,1243,250741,68,4
1101,Turni,Kamniško Savinjske Alpe,1240,187683,62,1
1102,Mali Rogatec (Mali Rogac),Kamniško Savinjske Alpe,1228,4730,41,2
1103,Partizanska bolnica Mrzle vode,Kamniško Savinjske Alpe,1226,237067,67,1
1104,Planina Marjanine njive,Kamniško Savinjske Alpe,1220,16552,46,1
1105,Koča na Klemenči jami,Kamniško Savinjske Alpe,1208,548338,93,2
1106,Ojstri vrh (nad Prevalo),Kamniško Savinjske Alpe,1197,5710,42,2
1107,Kopa (Belska Kopa),Kamniško Savinjske Alpe,1180,256878,69,1
1108,Planina Travnik,Kamniško Savinjske Alpe,1180,260015,69,5
1109,Počka (Robnikova) planina,Kamniško Savinjske Alpe,1165,229337,66,1
1110,Prevala,Kamniško Savinjske Alpe,1163,388062,81,3
1111,Škrbina (Slaparjeva gora),Kamniško Savinjske Alpe,1142,5470,42,1
1112,Pleče,Kamniško Savinjske Alpe,1131,3971,39,6
1113,Dom pod Storžičem,Kamniško Savinjske Alpe,1123,602124,95,3
1114,Smokuški vrh,Kamniško Savinjske Alpe,1122,506405,91,8
1115,Orlovo gnezdo (Slap Rinka),Kamniško Savinjske Alpe,1120,523426,92,1
1116,Baba,Kamniško Savinjske Alpe,1119,408406,83,2
1117,Mihčeva kopišča,Kamniško Savinjske Alpe,1100,5648,42,1
1118,Breška planina,Kamniško Savinjske Alpe,1100,256174,69,3
1119,Planina Osredek,Kamniško Savinjske Alpe,1100,422087,84,4
1120,Mešenik,Kamniško Savinjske Alpe,1099,155450,59,0
1121,Ambrož pod Krvavcem,Kamniško Savinjske Alpe,1085,34370,48,7
1122,Tolsti vrh (Dobrovlje),Kamniško Savinjske Alpe,1077,318861,75,5
1123,Planina Ravni,Kamniško Savinjske Alpe,1075,190391,62,4
1124,Bistriška planina,Kamniško Savinjske Alpe,1057,460600,88,6
1125,Najevska lipa,Kamniško Savinjske Alpe,1056,379,17,2
1126,Sveti Križ (Kriška gora) nad Belimi Vodami,Kamniško Savinjske Alpe,1054,17860,47,4
1127,Vaško,Kamniško Savinjske Alpe,1046,299520,73,3
1128,Kopa (Partizanski vrh),Kamniško Savinjske Alpe,1024,9570,45,4
1129,Prgozdnik,Kamniško Savinjske Alpe,1013,2720,35,2
1130,Smolnik,Kamniško Savinjske Alpe,1002,213267,65,1
1131,Vrhe,Kamniško Savinjske Alpe,965,182620,61,6
1132,Planinska koča Iskra na Jakobu,Kamniško Savinjske Alpe,961,599529,95,8
1133,Sveti Jošt nad Vranskim,Kamniško Savinjske Alpe,955,239363,67,1
1134,Sveta Mati Božja na Čreti,Kamniško Savinjske Alpe,944,177502,61,6
1135,Sveti Ahac (Kališe),Kamniško Savinjske Alpe,941,212238,64,0
1136,Vovar,Kamniško Savinjske Alpe,940,266593,70,6
1137,Planinska koča pri Franciju,Kamniško Savinjske Alpe,930,340145,77,5
1138,Sveti Lenart nad Gornjim Gradom,Kamniško Savinjske Alpe,929,319787,75,2
1139,Planica (vzletišče Gozd),Kamniško Savinjske Alpe,926,5180,41,7
1140,Matkov kot,Kamniško Savinjske Alpe,920,444516,86,1
1141,Skutman,Kamniško Savinjske Alpe,911,7110,43,5
1142,Grmada (Dobrovlje),Kamniško Savinjske Alpe,898,212642,65,3
1143,Sveti Lovrenc (Bašelj),Kamniško Savinjske Alpe,892,428464,85,5
1144,Zavetišče v Gozdu,Kamniško Savinjske Alpe,891,418132,84,7
1145,Robanova planina,Kamniško Savinjske Alpe,890,366146,80,1
1146,Lomek (Lom),Kamniško Savinjske Alpe,884,5810,42,2
1147,Sveti Primož nad Ljubnim,Kamniško Savinjske Alpe,883,329410,76,2
1148,Gradišče (Pustinjak),Kamniško Savinjske Alpe,871,271096,70,5
1149,Dom na Čreti,Kamniško Savinjske Alpe,870,490300,90,8
1150,Slap Orglice,Kamniško Savinjske Alpe,870,522093,92,1
1151,Sankaška koča,Kamniško Savinjske Alpe,867,453351,87,4
1152,Mali vrh nad Završnico,Kamniško Savinjske Alpe,863,10130,45,1
1153,Sveti Janez in Pavel (Dobrovlje),Kamniško Savinjske Alpe,862,162334,60,3
1154,Dom na Lovrencu (Bašelj),Kamniško Savinjske Alpe,860,451542,87,4
1155,Bezovec (Dobrovlje),Kamniško Savinjske Alpe,857,164279,60,4
1156,Sveti Vid (nad Zgornjim Tuhinjem),Kamniško Savinjske Alpe,846,2330,34,2
1157,Cerkev sv. Petra nad Črno pri Kamniku,Kamniško Savinjske Alpe,845,6250,43,1
1158,Zapečnikova planina,Kamniško Savinjske Alpe,840,2560,35,2
1159,Sveti Peter nad Begunjami,Kamniško Savinjske Alpe,839,466666,88,5
1160,Dom Čemšenik,Kamniško Savinjske Alpe,835,440349,86,1
1161,Sveti Primož nad Kamnikom,Kamniško Savinjske Alpe,826,627219,96,1
1162,Sveta Radegunda (Radegunda),Kamniško Savinjske Alpe,824,757,24,1
1163,Božičev slap,Kamniško Savinjske Alpe,810,321,16,1
1164,Korošaški slapovi,Kamniško Savinjske Alpe,800,414882,84,1
1165,Razgledišče Skroti,Kamniško Savinjske Alpe,787,3340,37,1
1166,Sveti Miklavž na Gori,Kamniško Savinjske Alpe,757,348745,78,1
1167,Tominčev slap,Kamniško Savinjske Alpe,750,355565,78,1
1168,Štefanja gora,Kamniško Savinjske Alpe,748,516722,92,10
1169,Dom na Dobrovljah,Kamniško Savinjske Alpe,745,205790,64,2
1170,Sveti Florjan nad Gornjim Gradom,Kamniško Savinjske Alpe,743,174932,61,1
1171,Apnišče,Kamniško Savinjske Alpe,740,8270,44,6
1172,Gora Oljka,Kamniško Savinjske Alpe,733,643358,96,9
1173,Slap Palenk,Kamniško Savinjske Alpe,730,287544,72,1
1174,Stiška vas,Kamniško Savinjske Alpe,725,2340,34,1
1175,Sveti Lovrenc nad Zabreznico,Kamniško Savinjske Alpe,725,289955,72,3
1176,Jamna peč,Kamniško Savinjske Alpe,720,4145,39,3
1177,Vrholanov vrh (Ravne pri Šoštanju),Kamniško Savinjske Alpe,710,2790,36,1
1178,Dom planincev Farbanca,Kamniško Savinjske Alpe,702,223586,66,3
1179,Sveti Nikolaj (Možjanca),Kamniško Savinjske Alpe,689,9290,45,4
1180,Spominski park v Kamniški Bistrici,Kamniško Savinjske Alpe,680,2730,36,1
1181,Sveta Neža (Brezje pri Tržiču),Kamniško Savinjske Alpe,677,1970,32,1
1182,Sveti Jurij nad Tržičem,Kamniško Savinjske Alpe,673,159954,59,3
1183,Šenturška Gora,Kamniško Savinjske Alpe,671,29123,48,3
1184,Grad Gutenberk (Hudi grad),Kamniško Savinjske Alpe,663,3861,39,2
1185,Sv. Miklavž nad Mačami,Kamniško Savinjske Alpe,651,213747,65,1
1186,Novi grad (Pusti grad),Kamniško Savinjske Alpe,630,4866,41,2
1187,Grad Kamen,Kamniško Savinjske Alpe,620,275585,71,0
1188,Brezovec,Kamniško Savinjske Alpe,617,4706,41,1
1189,Dom v Kamniški Bistrici,Kamniško Savinjske Alpe,600,430602,85,2
1190,Koželj,Kamniško Savinjske Alpe,590,14460,46,2
1191,Veliko Gradišče,Kamniško Savinjske Alpe,587,871,25,1
1192,Senčnica Josipine Turnograjske,Kamniško Savinjske Alpe,570,263209,70,2
1193,Planinski dom Šentjungert,Kamniško Savinjske Alpe,565,406135,83,2
1194,Sevčnik,Kamniško Savinjske Alpe,562,2900,36,1
1195,Malo Gradišče,Kamniško Savinjske Alpe,536,467,20,1
1196,Sveti Jakob (Jakec),Kamniško Savinjske Alpe,528,2100,33,1
1197,Kriva jelka,Kamniško Savinjske Alpe,528,4830,41,2
1198,Apno,Kamniško Savinjske Alpe,525,124,9,3
1199,Brunški vrh,Kamniško Savinjske Alpe,511,1010,27,1
1200,Mokrišče Blata,Kamniško Savinjske Alpe,505,2160,33,1
1201,Sebenje,Kamniško Savinjske Alpe,500,1400,29,1
1202,Malo Apno,Kamniško Savinjske Alpe,499,69,4,1
1203,Lipnik (pri Velenju),Kamniško Savinjske Alpe,486,1410,29,1
1204,Bazilika Marije Pomagaj na Brezjah,Kamniško Savinjske Alpe,486,4430,40,2
1205,Sveta Ana (Tunjice),Kamniško Savinjske Alpe,475,270926,70,3
1206,V Boštkú,Kamniško Savinjske Alpe,466,1060,27,2
1207,Vinski vrh (Vimperk),Kamniško Savinjske Alpe,448,7640,44,3
1208,Grad Velenje,Kamniško Savinjske Alpe,442,3640,38,3
1209,Slap Peračica,Kamniško Savinjske Alpe,430,21030,47,5
1210,Šobčev bajer,Kamniško Savinjske Alpe,426,332790,77,5
1211,Pogorišče,Kamniško Savinjske Alpe,412,92,6,3
1212,Turistična kmetija Trnovc,Kamniško Savinjske Alpe,412,1810,31,1
1213,Grad Žovnek,Kamniško Savinjske Alpe,409,318272,75,2
1214,Izvir Ponikvice,Kamniško Savinjske Alpe,378,90,5,2
1215,Šoštanj,Kamniško Savinjske Alpe,358,3370,37,1
1216,Izvir Ločanke,Kamniško Savinjske Alpe,356,69,4,3
1217,Požiralnik Ponikvice,Kamniško Savinjske Alpe,350,77,4,3
1218,Planinski dom Milana Šinkovca,Kamniško Savinjske Alpe,345,6133,42,1
1219,Jama Pekel,Kamniško Savinjske Alpe,300,191,12,2
1220,Stol,Karavanke,2236,1346339,100,20
1221,Vrtača,Karavanke,2181,909166,99,12
1222,Prešernova koča na Stolu,Karavanke,2174,565842,94,14
1223,Kepa,Karavanke,2143,748810,98,9
1224,Ojstrc / Hochobir,Karavanke,2139,600650,95,6
1225,Košutnikov turn,Karavanke,2133,757230,98,8
1226,Kordeževa glava (Peca),Karavanke,2125,986360,99,23
1227,Bistriška špica (Peca) / Feistritzer Spitze (Petzen),Karavanke,2113,443579,86,11
1228,Končnikov vrh (Peca),Karavanke,2109,449627,87,11
1229,Križnik (Peca),Karavanke,2109,615,22,5
1230,Vajnež,Karavanke,2104,627521,96,5
1231,Celovška špica,Karavanke,2102,15270,46,2
1232,Veliko Kladivo,Karavanke,2094,673195,97,8
1233,Veliki vrh (Košuta),Karavanke,2088,1015596,99,9
1234,Dovška Mala Kepa,Karavanke,2077,426702,85,1
1235,Velika glava (Peca),Karavanke,2077,360063,79,3
1236,Veška kopa (Peca) / Wackendorfer Spitze (Petzen),Karavanke,2074,285433,72,5
1237,Begunjščica,Karavanke,2060,1206150,100,14
1238,Tolsta Košuta - Vzhodni vrh,Karavanke,2057,464178,88,1
1239,Tolsta Košuta - Zahodni vrh,Karavanke,2039,474010,89,1
1240,Malo Kladivo,Karavanke,2036,431665,85,3
1241,Gubno,Karavanke,2035,464401,88,3
1242,Palec,Karavanke,2026,554682,93,3
1243,Pungartska gora,Karavanke,2025,361756,79,1
1244,Ovčji vrh (Kozjak) / Geissberg (Kosiak),Karavanke,2024,485768,90,8
1245,Zelenjak,Karavanke,2024,501135,91,3
1246,Mali vrh,Karavanke,2017,357877,79,1
1247,Kravji vrh / Kuhberg,Karavanke,2017,13137,46,2
1248,Potoški Stol,Karavanke,2014,488290,90,5
1249,Toplar,Karavanke,2000,500957,91,3
1250,Alte Bleiburger Hütte,Karavanke,2000,1440,29,1
1251,Begunjska Vrtača,Karavanke,1991,504589,91,4
1252,Košutica,Karavanke,1968,641728,96,8
1253,Kofce gora,Karavanke,1967,664763,97,6
1254,Cjajnik / Lärchenturm,Karavanke,1965,506011,91,3
1255,Svačica,Karavanke,1953,446668,86,9
1256,Struška,Karavanke,1944,566225,94,8
1257,Trupejevo poldne,Karavanke,1931,755649,98,8
1258,Govca (Olševa),Karavanke,1929,750497,98,14
1259,Bele peči (Lepi vrh),Karavanke,1926,14250,46,2
1260,Setiče/Freiberg,Karavanke,1922,350964,78,1
1261,Srednja peč,Karavanke,1920,9380,45,5
1262,Žleb (Suho ruševje),Karavanke,1916,407409,83,1
1263,Obel kamen (Olševa),Karavanke,1911,21980,47,6
1264,Dovška Baba,Karavanke,1891,758437,98,9
1265,Škrbina,Karavanke,1869,380637,81,1
1266,Murnovc,Karavanke,1866,217416,65,1
1267,Kamnitnik,Karavanke,1858,281808,71,2
1268,Grlovec / Ferlacher Horn,Karavanke,1840,358633,79,6
1269,Kresišče,Karavanke,1839,430439,85,4
1270,Golica,Karavanke,1835,1163125,100,12
1271,Visoki vrh,Karavanke,1828,385336,81,3
1272,Kraguljše,Karavanke,1828,174612,61,2
1273,Maloško poldne / Mallestiger Mittagskogel,Karavanke,1823,321858,75,4
1274,Mojstrovica,Karavanke,1816,384496,81,2
1275,Lokovnikov Grintovec / Grintoutz,Karavanke,1809,344870,78,5
1276,Plešivec,Karavanke,1801,490054,90,3
1277,Ostra peč / Mallestiger Mittagskogel,Karavanke,1801,341294,77,4
1278,Srednji vrh (nad Završnico),Karavanke,1796,469173,88,4
1279,Rjavca / Rjautza,Karavanke,1789,247883,68,2
1280,Na Možeh,Karavanke,1784,346477,78,1
1281,Krvavka,Karavanke,1784,310465,74,1
1282,Hruški vrh,Karavanke,1776,483323,90,9
1283,Pristovški Storžič / Kärntner Storschitz,Karavanke,1759,596908,95,4
1284,Koprivnjak / Kleiner Frauenkogel,Karavanke,1754,301555,73,2
1285,Klek,Karavanke,1753,509492,91,8
1286,Bivak na Belščici,Karavanke,1750,376136,81,2
1287,Zajčnik,Karavanke,1746,237424,67,3
1288,Zajmenove peči,Karavanke,1745,7040,43,2
1289,Kamnica (Komnica) / Ferlacher Spitze,Karavanke,1742,3180,37,3
1290,Mala Košuta,Karavanke,1740,394169,82,2
1291,Vošca,Karavanke,1737,526828,92,6
1292,Mala Peca,Karavanke,1731,360825,79,3
1293,Tamarča,Karavanke,1728,194918,63,1
1294,Hajnžev Praprotnik / Zeller Prapotnik,Karavanke,1727,3700,38,5
1295,Veliki Javornik (Ženiklovec),Karavanke,1716,453135,87,5
1296,Panoramska restavracija Oben / Panoramarestaurant Oben,Karavanke,1708,242443,68,3
1297,Vrh Ljubeljščice (Triangel),Karavanke,1704,532708,93,3
1298,Feuersberger Spitze (Peca / Petzen),Karavanke,1704,182,11,2
1299,Hajnževo sedlo,Karavanke,1701,424703,85,4
1300,Belska planina (Svečica),Karavanke,1700,507302,91,5
1301,Berggasthaus Siebenhütten,Karavanke,1700,220,13,1
1302,Ezzo's Hütte,Karavanke,1700,338,16,1
1303,Uršlja gora (Plešivec),Karavanke,1699,984723,99,15
1304,Planina Seča,Karavanke,1698,317020,75,3
1305,Stegovnik,Karavanke,1692,593815,95,9
1306,Mačenski vrh / Matschacher Gupf,Karavanke,1691,2730,36,3
1307,Mali Javornik,Karavanke,1685,320584,75,1
1308,Bela peč / Weiße Wand,Karavanke,1684,219234,65,1
1309,Spodnji Plot,Karavanke,1682,312118,74,3
1310,Dom na Uršlji gori,Karavanke,1680,54803,49,11
1311,Grpišca,Karavanke,1676,234067,67,1
1312,Hrašenska planina,Karavanke,1670,223746,66,2
1313,Votlina Kralja Matjaža,Karavanke,1670,379249,81,3
1314,Pečovnik (kota 1668),Karavanke,1668,240241,67,2
1315,Javorče,Karavanke,1667,1810,31,2
1316,Dom na Peci,Karavanke,1665,550217,93,7
1317,Alte Zollhütte,Karavanke,1665,306,15,1
1318,Celovška koča / Klagenfurter Hutte,Karavanke,1664,461881,88,5
1319,Potočka zijalka,Karavanke,1660,522479,92,3
1320,Kosmatica / Kosmatitza,Karavanke,1659,7156,43,3
1321,Kamnati vrh,Karavanke,1658,272909,71,2
1322,Roblekov dom na Begunjščici,Karavanke,1657,976152,99,9
1323,Virnikov Grintovec,Karavanke,1654,603541,96,6
1324,Planina Dovška Rožca,Karavanke,1650,450919,87,6
1325,Visoka Bavha,Karavanke,1650,8199,44,1
1326,Topica/Topitza,Karavanke,1649,253035,69,3
1327,Mala Golica,Karavanke,1646,253508,69,2
1328,Pečovnik,Karavanke,1640,175225,61,2
1329,Veliki vrh nad Komatevro,Karavanke,1634,179696,61,1
1330,Blekova planina,Karavanke,1629,292438,72,3
1331,Macna / Matzen,Karavanke,1627,152845,59,4
1332,Jerebikovec,Karavanke,1621,334294,77,1
1333,Ruš,Karavanke,1614,196870,63,4
1334,Sveta peč / Helige Wand,Karavanke,1613,162988,60,1
1335,Čofatijev vrh,Karavanke,1606,3450,38,3
1336,Bela peč,Karavanke,1593,488919,90,10
1337,Žingarica / Singerberg,Karavanke,1589,238917,67,6
1338,Rožca,Karavanke,1587,430427,85,6
1339,Koča na Golici,Karavanke,1582,594049,95,5
1340,Planina Zgornja Dolga njiva,Karavanke,1580,369501,80,2
1341,Planina Zgornja Konjščica,Karavanke,1578,204751,64,4
1342,Sinski vrh / Sinacher Gupf,Karavanke,1577,219275,65,4
1343,Ojstra / Oistra,Karavanke,1577,4510,40,1
1344,Planina Zgornja Luža,Karavanke,1573,133381,57,2
1345,Vgrizeva planina / Ogrisalm,Karavanke,1569,207166,64,4
