gora_id,ime,cas,zahtevnost
22,Razdrto - Vojkova koča na Nanosu (položna pot),135,lahka označena pot
22,Razdrto - Vojkova koča na Nanosu (strma pot),105,zahtevna označena pot
22,Eko koča Nanos (Lovska koča Vojkovo) - Vojkova koča na Nanosu,110,lahka označena pot
22,Furlanovo zavetišče pri Abramu - Vojkova koča na Nanosu,120,lahka označena pot
22,Veliko Ubeljsko - Vojkova koča na Nanosu,110,lahka označena pot
22,Strane - Vojkova koča na Nanosu,135,lahka označena pot
22,Gradišče pri Vipavi - Vojkova koča na Nanosu (Furlanova pot),270,zelo zahtevna označena pot
22,Razdrto - Vojkova koča na Nanosu (Janezova pot),120,lahka neoznačena steza
22,Gradišče pri Vipavi - Vojkova koča na Nanosu (lažja pot),270,zahtevna označena pot
22,Podnanos - Vojkova koča na Nanosu (Pod zatrepom),230,lahka označena pot
22,Lozice - Vojkova koča na Nanosu,180,lahka označena pot
22,Gradišče pri Vipavi - Vojkova koča na Nanosu (mimo sv. Miklavža),225,lahka označena pot
22,Podkraj - Vojkova koča na Nanosu,270,lahka označena pot
22,Hrašče - Vojkova koča na Nanosu (mimo korit),190,lahka označena pot
22,Hrašče - Vojkova koča na Nanosu (čez Brižnik),190,lahka označena pot
22,Veliko Ubeljsko - Vojkova koča na Nanosu (mimo sv. Brica),175,"lahka neoznačena steza, lahka označena pot"
23,Vitovlje (Križišče) - Veliki Rob,180,lahka označena pot
23,Krnica - Veliki Rob,40,lahka označena pot
23,Predmeja - Veliki Rob,180,lahka označena pot
23,Vrtovin - Veliki Rob,175,lahka označena pot
23,Vitovlje - Veliki Rob (mimo Vitovskega jezera in čez Sekulak),190,lahka označena pot
23,Lokavec - Veliki Rob (čez Kucelj),255,lahka označena pot
23,Predmeja (tuneli) - Veliki Rob (Srednječavenska pot),180,delno zahtevna označena pot
23,Gojače - Veliki Rob,210,lahka označena pot
23,Malovše - Veliki Rob,215,lahka označena pot
23,Ozeljan - Veliki Rob (čez Sekulak),260,lahka neoznačena steza
23,Polomova rajda - Veliki Rob (čez Kucelj),165,lahka označena pot
24,Vrtovin - Kucelj (na Čavnu),140,lahka označena pot
24,Predmeja (tuneli) - Kucelj (na Čavnu) (Srednječavenska pot),120,delno zahtevna označena pot
24,Predmeja - Kucelj (na Čavnu),120,lahka označena pot
24,Polomova rajda - Kucelj (na Čavnu) (po cesti),105,lahka označena pot
24,Krnica - Kucelj (na Čavnu) (čez Veliki Rob),100,lahka označena pot
24,Lokavec - Kucelj (na Čavnu),195,lahka označena pot
24,Predmeja (tuneli) - Kucelj (na Čavnu) (mimo Koče na Čavnu),135,lahka označena pot
24,Kamnje - Kucelj (na Čavnu),165,lahka označena pot
24,Gojače - Kucelj (na Čavnu),175,lahka označena pot
24,Stomaž - Kucelj (na Čavnu) (mimo Koče na Čavnu),180,lahka označena pot
24,Vrtovin - Kucelj (na Čavnu) (mimo Koče na Mali gori),185,lahka označena pot
24,Malovše - Kucelj (na Čavnu),180,lahka označena pot
25,Rakitnica - Rezinski vrh,160,lahka označena pot
26,Podkraj - Sveti Duh (Hrušica),75,lahka označena pot
26,Col - Sveti Duh (Hrušica),135,lahka označena pot
27,Kalce - Mali Javornik (Javorniki),60,lahka označena pot
27,Jeršiče - Mali Javornik (Javorniki),110,lahka označena pot
28,Matevljek - Petelinjek (mimo Votle stene),80,"delno zahtevna označena pot, lahka neoznačena steza"
28,Matevljek - Petelinjek,75,lahka neoznačena steza
29,Eko koča Nanos (Lovska koča Vojkovo) - Grmada (Nanos),105,lahka neoznačena steza
29,Razdrto - Grmada (Nanos),125,lahka neoznačena steza
29,Podnanos - Grmada (Nanos) (Pod zatrepom),225,lahka neoznačena steza
29,Lozice - Grmada (Nanos),175,lahka neoznačena steza
29,Gradišče pri Vipavi - Grmada (Nanos) (mimo sv. Miklavža),220,lahka neoznačena steza
29,Hrašče - Grmada (Nanos) (čez Brižnik),185,lahka neoznačena steza
29,Hrašče - Grmada (Nanos) (mimo korit),185,lahka neoznačena steza
30,Matevljek - Velika Jazbina,60,delno zahtevna označena pot
31,Solarji - Nagnoj,100,lahka označena pot
31,Livške Ravne - Nagnoj,15,lahka označena pot
32,Ravne - Cerk,90,lahka označena pot
32,Strma Reber - Cerk,105,lahka označena pot
32,18. serpentina ceste na Strmo Reber - Cerk,160,lahka označena pot
32,Osilnica - Cerk,245,lahka označena pot
32,Bezgovica - Cerk,175,lahka označena pot
33,Lokve - Stanov rob,35,lahka neoznačena steza
33,Dom na Lazni - Stanov rob,70,lahka neoznačena steza
34,Vitovlje (Križišče) - Čaven,150,lahka neoznačena steza
34,Vitovlje - Čaven (mimo Vitovskega jezera),160,lahka neoznačena steza
34,Ozeljan - Čaven,230,lahka neoznačena steza
35,Lokve - Škol,40,lahka označena pot
36,Podkraj - Križna gora (Hrušica) (položna pot),80,lahka označena pot
36,Podkraj - Križna gora (Hrušica) (strma pot),60,lahka označena pot
36,Col - Križna gora (Hrušica),140,lahka označena pot
37,Lome - Pirnatova koča na Javorniku,50,lahka označena pot
37,Črni vrh  (Grom) - Pirnatova koča na Javorniku,60,lahka označena pot
37,Podkraj - Pirnatova koča na Javorniku,140,lahka označena pot
37,Repna dolina - Pirnatova koča na Javorniku,95,lahka označena pot
37,Vodice (Mali Školj) - Pirnatova koča na Javorniku,80,lahka označena pot
37,Col - Pirnatova koča na Javorniku,170,lahka označena pot
38,Strane - Maj,80,delno zahtevna neoznačena pot
39,Mala Lazna - Velika ledena jama v Paradani,35,lahka označena pot
40,Vrhnika pri Ložu - Racna gora,105,lahka označena pot
40,Lovska koča Urška - Racna gora,45,lahka označena pot
41,Livške Ravne - Trinški vrh,60,lahka označena pot
41,Solarji - Trinški vrh,55,lahka označena pot
42,Zadlog - Špičasti vrh,75,lahka označena pot
42,Cenc - Špičasti vrh (po markirani poti),90,lahka označena pot
42,Cenc - Špičasti vrh (po cesti čez Novino),90,lahka neoznačena steza
43,Rakitnica - Bela stena,130,lahka označena pot
44,Bosljiva Loka - Krokar (trajno zaprta pot!),195,"delno zahtevna označena pot, lahka neoznačena steza"
45,Livške Ravne - Na gradu,85,lahka označena pot
45,Solarji - Na gradu,30,lahka označena pot
46,Cerknica - Slivnica,100,lahka označena pot
46,Martinjak - Slivnica,85,lahka označena pot
46,Grahovo - Slivnica,90,lahka označena pot
46,Brezje - Slivnica (po cesti),135,lahka označena pot
46,Radlek - Slivnica,80,lahka označena pot
46,Cerknica (Dom starejših občanov) - Slivnica (Zatrepi - Slivnica),90,lahka neoznačena steza
47,Dom v Iškem Vintgarju - Krim,135,lahka označena pot
47,Iška - Krim,130,lahka označena pot
47,Rakitna - Krim,120,lahka označena pot
47,Jezero - Krim (mimo Ledenice),150,lahka označena pot
47,Zamlake - Krim,50,lahka označena pot
47,Mesnice - Krim (po cesti),110,lahka označena pot
47,Polharski dom Krim - Krim,95,lahka označena pot
47,Strahomer - Krim (čez Strmec),130,lahka označena pot
47,Dom v Iškem Vintgarju - Krim (strma pot),120,delno zahtevna označena pot
47,Preserje - Krim,140,lahka označena pot
47,Jezero - Krim (mimo domačije Špelin),140,lahka označena pot
47,Strahomer - Krim (čez Kramarco),130,lahka označena pot
47,Tomišelj - Krim,135,lahka označena pot
47,Dolenja Brezovica - Krim,130,lahka označena pot
47,Vrbljene - Krim,135,lahka označena pot
47,Lovska koča Plehanov laz - Krim,135,lahka označena pot
48,Črni Vrh - Čelkov vrh,90,lahka označena pot
48,Kampelc - Čelkov vrh,50,lahka označena pot
49,Vlačno - Sveta Trojica,80,lahka označena pot
49,Sevski gozd - Sveta Trojica,45,lahka označena pot
49,Slovenska vas - Sveta Trojica,135,lahka označena pot
49,Jeršiče - Sveta Trojica (pot je trajno ZAPRTA!),160,lahka označena pot
50,Kamenščina - Velika Milanja,40,lahka neoznačena steza
51,Juršče - Kršičevec,90,lahka označena pot
51,Bač - Kršičevec,135,lahka neoznačena steza
51,Ravni - Kršičevec,150,lahka neoznačena steza
52,Jeršiče - Baba (pri Javornikih),90,lahka neoznačena steza
52,Mesnice - Baba (pri Javornikih),25,lahka neoznačena steza
53,Zagrad - Razsušica (zahodna pot),75,lahka označena pot
53,Zagrad - Razsušica (čez Ostrič),125,lahka označena pot
54,Gotenica - Kameni zid,90,lahka označena pot
55,Zagrad - Medvižica (čez Ostrič),110,lahka označena pot
55,Zagrad - Medvižica (čez Razsušico),105,lahka označena pot
56,Cerknica - Dom na Slivnici,90,lahka označena pot
56,Radlek - Dom na Slivnici,80,lahka označena pot
56,Grahovo - Dom na Slivnici,85,lahka označena pot
56,Martinjak - Dom na Slivnici,80,lahka označena pot
56,Radlek - Dom na Slivnici,80,lahka označena pot
57,Lokve - Črni vrh (pri Lokvah),25,lahka neoznačena steza
58,Široko - Veliki vrh (nad Lomom) (skozi Kanalski Lom - po poti Lom je moj dom),160,lahka označena pot
58,Široko - Veliki vrh (nad Lomom) (direktna pot),90,lahka označena pot
